id,author,rating,text,date,platform
r001,Jennifer M.,5,"Absolutely love this place. The short rib pasta was incredible — perfectly braised with a rich sauce that coated every strand. Our server Marcus remembered we'd been in before and brought out a complimentary dessert for my birthday without us even mentioning it. Will be back every month.",2025-04-28,google
r002,Tom K.,2,"Waited 45 minutes for a table even though we had a reservation. When we finally sat down the bread was stale and the risotto came out lukewarm. Manager never stopped by. Felt completely forgotten. Food itself was fine when it arrived hot but the experience was frustrating.",2025-04-27,yelp
r003,Aisha R.,5,"Best brunch spot in Lincoln Park, full stop. The avocado toast with pickled onions and the eggs benedict with house-cured salmon are non-negotiable orders. Coffee program is serious — they're using a single-origin Ethiopian pour-over. Came three weekends in a row.",2025-04-26,google
r004,Derek S.,1,"Found a hair in my food and when I told the server she seemed annoyed rather than apologetic. Did not offer to replace the dish or remove it from the bill. I had to ask to speak to a manager and he offered a 10% discount which frankly felt insulting. Health department should know about this.",2025-04-25,google
r005,Priya N.,4,"Really good neighborhood spot. The grilled salmon was perfectly cooked and the roasted beet salad was a highlight. Docked one star because the cocktail menu feels dated compared to the food — the drinks don't match the kitchen's ambition. Still coming back though.",2025-04-24,yelp
r006,Carlos B.,5,"Took my parents here for their anniversary and the staff went completely above and beyond. They brought out a little card signed by the kitchen team and arranged a beautiful dessert presentation. My mom is still talking about it a week later. This is what hospitality means.",2025-04-23,google
r007,Rachel W.,3,"Mixed experience. Appetizers were excellent — the burrata with heirloom tomatoes was the best thing I've eaten this month. But the main courses took over an hour and the lamb was overcooked. The kitchen seems inconsistent on busy nights. Would try again on a quieter evening.",2025-04-22,yelp
r008,Mike T.,5,"The happy hour deal is unreal. Half price on all small plates and $8 cocktails from 4-6. The truffle fries alone are worth the trip. Bartender Danny is hilarious and made the whole evening. Told everyone at work.",2025-04-21,google
r009,Sandra L.,2,"Gluten-free options listed on the menu but the staff seemed unsure whether dishes were actually safe for celiac. I asked three times and got three different answers. Ended up just ordering a salad to be safe. Really need better staff training on allergen protocols.",2025-04-20,yelp
r010,James O.,5,"Took a date here on a whim and it couldn't have gone better. The atmosphere is warm without being stuffy, the lighting is perfect, and the tasting menu was an adventure. The wine pairing suggestions from our server were spot-on. Already booked for next month.",2025-04-19,google
r011,Yuki H.,4,"Solid restaurant that does the basics really well. Nothing flashy but everything executed with care. The chicken piccata was classic and comforting, service was attentive without being intrusive. Prices are fair for the neighborhood. My go-to for a reliable weeknight dinner.",2025-04-18,yelp
r012,Beth C.,1,"Ordered takeout and it arrived 35 minutes late and completely cold. The pasta had stuck together into one solid mass. Called to complain and was told they were busy and offered nothing by way of resolution. Lost a loyal customer of two years over a $10 credit they refused to give.",2025-04-17,google
r013,Aaron D.,5,"Chef came out to chat with our table after the meal — such a personal touch you rarely see anymore. The halibut special was the best fish dish I've had in Chicago this year. Small detail but the bread basket is house-baked and it shows. Michelin should be paying attention.",2025-04-16,google
r014,Fatima K.,3,"Decent food, nothing memorable. The burger was good but not the transcendent experience the Yelp reviews promised. Service was a bit rushed — felt like they were trying to turn the table quickly on a Friday night. Fine for a casual meal but I wouldn't drive across town for it.",2025-04-15,yelp
r015,Paul R.,4,"Great spot for a business lunch. Quiet enough to have a real conversation, food comes out promptly, and the menu has enough variety that my vegetarian colleague and my steak-and-potatoes client were both happy. The private dining room option is perfect for larger groups.",2025-04-14,google
r016,Mei L.,5,"The pastry chef deserves a shoutout — the olive oil cake with blood orange curd was extraordinary. I've been dreaming about it since Saturday. The savory food is wonderful too but honestly I come for the dessert program. Please never take that cake off the menu.",2025-04-13,yelp
r017,Greg N.,2,"Reservation at 7:30, didn't get seated until 8:05. No apology, no acknowledgment of the wait. The host acted like 35 minutes over time was completely normal. Food was good when it came but I spent the whole meal annoyed. Sort out your reservation system.",2025-04-12,google
r018,Danielle F.,5,"Brought my whole family — kids, grandparents, the works — and everyone found something they loved. The staff were patient with my picky six-year-old and brought him plain pasta with butter without any fuss. That kind of flexibility for families is rare and so appreciated.",2025-04-11,google
r019,Kevin M.,3,"Hit and miss. The octopus starter was stunning — tender, smoky, beautifully plated. But the ribeye was aggressively over-salted and I couldn't finish it. For these prices the execution needs to be consistent across the whole menu not just the starters.",2025-04-10,yelp
r020,Olivia T.,5,"I've been a regular for two years and this kitchen keeps getting better. New spring menu just launched and the morel mushroom risotto is an instant classic. Love watching a restaurant grow and evolve. This team clearly cares deeply about what they put on the plate.",2025-04-09,google
